it        Residuals              Cdfi                   it_stop
50 0.00337533 0 0
100 2.92841e-06 0 0
150 1.23205e-06 0 0
200 6.01924e-07 0 0
250 3.13763e-07 0 0
300 1.63555e-07 0 0
350 8.3006e-08 0 0
400 4.0549e-08 0 0
450 1.89754e-08 0 0
500 8.49667e-09 0 0
550 3.6455e-09 0 0
600 1.50214e-09 0 0
650 5.9649e-10 0 0
700 2.29131e-10 0 0
750 8.54676e-11 0 0
800 3.1075e-11 0 0
850 1.10541e-11 0 0
900 3.8563e-12 0 0
950 1.32284e-12 0 0
1000 4.47319e-13 0 0
1050 1.49488e-13 0 0
1100 4.95579e-14 0 0
1150 1.6418e-14 0 0
1200 5.51603e-15 0 0
1250 1.97376e-15 0 0
1300 8.53284e-16 0 0
1350 5.02495e-16 0 0
1400 3.875e-16 0 0
1450 3.16549e-16 0 0
1500 3.41792e-16 0 0
1550 4.17905e-14 0 3000
1600 4.29334e-14 0 3000
1650 3.91142e-14 0 3000
1700 4.02809e-14 0 3000
1750 3.70842e-14 0 3000
1800 3.72205e-14 0 3000
1850 4.05065e-14 0 3000
1900 3.53738e-14 0 3000
1950 3.25344e-14 0 3000
2000 3.57342e-14 0 3000
2050 2.79721e-14 0 3000
2100 2.90092e-14 0 3000
2150 3.23032e-14 0 3000
2200 3.5278e-14 0 3000
2250 3.32673e-14 0 3000
2300 3.42676e-14 0 3000
2350 3.59219e-14 0 3000
2400 3.53197e-14 0 3000
2450 3.38832e-14 0 3000
2500 3.43402e-14 0 3000
2550 2.84608e-14 0 3000
2600 3.01613e-14 0 3000
2650 3.33318e-14 0 3000
2700 3.45334e-14 0 3000
2750 2.99345e-14 0 3000
2800 3.58579e-14 0 3000
2850 3.58012e-14 0 3000
2900 3.26089e-14 0 3000
2950 3.03682e-14 0 3000
3000 3.54063e-14 0 3000
